date,FFE,FF3,FF6,FF9,FF12
9/30/2003,1.01,0.975,0.99,1.075,1.365
12/31/2003,0.98,1.015,1.12,1.39,1.365
3/31/2004,1,1.01,1.105,1.315,1.4
6/30/2004,1.03,1.645,2.19,2.65,3.04
9/30/2004,1.61,2.05,2.33,2.525,3.075
12/31/2004,2.16,2.565,2.905,3.19,3.19
3/31/2005,2.63,3.055,3.63,3.985,4.065
6/30/2005,3.04,3.56,3.805,3.85,3.92
9/30/2005,3.62,4.11,4.355,4.42,4.445
12/31/2005,4.16,4.51,4.72,4.735,4.73
3/31/2006,4.59,4.98,5.15,5.135,5.105
6/30/2006,4.99,5.42,5.47,5.45,5.45
9/30/2006,5.25,5.23,5.14,4.995,4.81
12/31/2006,5.24,5.235,5.17,5.05,4.88
3/31/2007,5.26,5.225,5.075,4.84,4.685
6/30/2007,5.25,5.24,5.19,5.13,5.075
9/30/2007,4.94,4.415,4.245,4.18,4.16
12/31/2007,4.24,3.935,3.665,3.325,3.19
3/31/2008,2.61,1.84,1.725,1.725,1.855
6/30/2008,2,2.13,2.375,2.67,2.935
9/30/2008,1.81,1.67,1.715,1.875,2.195
12/31/2008,0.16,0.225,0.3,0.49,0.655
3/31/2009,0.18,0.24,0.305,0.4,0.58
6/30/2009,0.21,0.245,0.345,0.62,0.96
9/30/2009,0.15,0.175,0.32,0.565,0.945
12/31/2009,0.12,0.19,0.33,0.685,1.095
3/31/2010,0.16,0.21,0.295,0.5,0.815
6/30/2010,0.18,0.21,0.24,0.335,0.47
9/30/2010,0.19,0.175,0.175,0.2,0.25
12/31/2010,0.18,0.185,0.195,0.23,0.33
3/31/2011,0.14,0.135,0.195,0.295,0.485
6/30/2011,0.09,0.14,0.175,0.235,0.295
9/30/2011,0.08,0.085,0.115,0.12,0.125
12/31/2011,0.07,0.09,0.11,0.135,0.145
3/31/2012,0.13,0.135,0.155,0.17,0.19
6/30/2012,0.16,0.18,0.18,0.185,0.195
9/30/2012,0.14,0.13,0.12,0.125,0.13
12/31/2012,0.16,0.14,0.135,0.135,0.14
3/31/2013,0.14,0.135,0.14,0.15,0.17
6/30/2013,0.09,0.125,0.15,0.18,0.225
9/30/2013,0.08,0.105,0.12,0.145,0.185
12/31/2013,0.09,0.1,0.115,0.145,0.175
3/31/2014,0.08,0.09,0.105,0.135,0.21
6/30/2014,0.1,0.11,0.14,0.18,0.29
9/30/2014,0.09,0.09,0.12,0.255,0.495
12/31/2014,0.12,0.125,0.205,0.385,0.61
3/31/2015,0.11,0.14,0.245,0.39,0.56
6/30/2015,0.13,0.165,0.295,0.445,0.625
9/30/2015,0.14,0.205,0.305,0.405,0.51
12/31/2015,0.24,0.43,0.58,0.71,0.89
3/31/2016,0.36,0.4,0.475,0.535,0.585
6/30/2016,0.38,0.37,0.365,0.385,0.41
9/30/2016,0.4,0.485,0.575,0.62,0.645
12/31/2016,0.54,0.69,0.815,0.94,1.12
3/31/2017,0.79,0.975,1.105,1.255,1.35
6/30/2017,1.04,1.17,1.26,1.335,1.415
9/30/2017,1.15,1.25,1.355,1.46,1.495
12/31/2017,1.3,1.455,1.66,1.745,1.88
3/31/2018,1.51,1.785,1.89,2.075,2.18
6/30/2018,1.82,1.95,2.165,2.315,2.45
9/30/2018,1.95,2.255,2.43,2.61,2.73
12/31/2018,2.27,2.405,2.415,2.42,2.395
3/31/2019,2.41,2.375,2.295,2.185,2.1
6/30/2019,2.38,1.975,1.705,1.56,1.445
9/30/2019,2.04,1.68,1.485,1.365,1.295
12/31/2019,1.55,1.56,1.52,1.47,1.4
3/31/2020,0.65,0.065,0.065,0.07,0.085
6/30/2020,0.08,0.06,0.035,0.005,-0.01
